,Player,TEST_Span,TEST_Matches,TEST_Innings,TEST_Not-Outs,TEST_RunsMade,TESTHighest-Score,TEST_Batting_Average,TEST_Hundereds,TEST_Fifties,TEST_Ducks
105,JM Bairstow (ENG),2012-2022,83,148,9,4801,167*,34.53,8,22,15
106,A Flower (ZIM),1992-2002,63,112,19,4794,232*,51.54,12,27,5
107,KC Brathwaite (WI),2011-2022,77,148,9,4743,212,34.12,10,25,15
108,IR Redpath (AUS),1964-1976,66,120,11,4737,171,43.45,8,31,9
109,NJ Astle (NZ),1996-2006,81,137,10,4702,222,37.02,11,24,11
110,Asad Shafiq (PAK),2010-2020,77,128,6,4660,137,38.19,12,27,13
111,AJ Lamb (ENG),1982-1992,79,139,10,4656,142,36.09,14,18,9
112,H Sutcliffe (ENG),1924-1935,54,84,9,4555,194,60.73,16,23,2
113,DJ Cullinan (SA),1993-2001,70,115,12,4554,275*,44.21,14,20,10
114,HP Tillakaratne (SL),1989-2004,83,131,25,4545,204*,42.87,11,20,9
115,PBH May (ENG),1951-1961,66,106,9,4537,285*,46.77,13,22,8
116,DL Vettori (ICC/NZ),1997-2014,113,174,23,4531,140,30.00,6,23,20
117,ER Dexter (ENG),1958-1968,62,102,8,4502,205,47.89,9,27,6
118,TWM Latham (NZ),2014-2022,65,113,5,4502,264*,41.68,12,22,9
119,ED Weekes (WI),1948-1958,48,81,5,4455,207,58.61,15,19,6
120,KJ Hughes (AUS),1977-1984,70,124,6,4415,213,37.41,9,22,10
121,MW Gatting (ENG),1978-1995,79,138,14,4409,207,35.55,10,21,16
122,DR Martyn (AUS),1992-2006,67,109,14,4406,165,46.37,13,23,7
123,AI Kallicharran (WI),1972-1981,66,109,10,4399,187,44.43,12,21,10
124,APE Knott (ENG),1967-1981,95,149,15,4389,135,32.75,5,30,8
125,M Amarnath (INDIA),1969-1988,69,113,10,4378,138,42.50,11,24,12
126,IA Healy (AUS),1988-1999,119,182,23,4356,161*,27.39,4,22,18
127,RC Fredericks (WI),1968-1977,59,109,7,4334,169,42.49,8,26,7
128,MA Butcher (ENG),1997-2004,71,131,7,4288,173*,34.58,8,23,10
129,PD Collingwood (ENG),2003-2011,68,115,10,4259,206,40.56,10,20,6
130,RA Smith (ENG),1988-1996,62,112,15,4236,175,43.67,9,28,8
131,LD Chandimal (SL),2011-2021,64,117,10,4217,164,39.41,11,20,4
132,SM Katich (AUS),2001-2010,56,99,6,4188,157,45.03,10,25,4
133,F du Plessis (SA),2012-2021,69,118,14,4163,199,40.02,10,21,9
134,G Gambhir (INDIA),2004-2016,58,104,5,4154,206,41.95,9,22,7
135,Mudassar Nazar (PAK),1976-1989,76,116,8,4114,231,38.09,10,17,7
136,MJ Prior (ENG),2007-2014,79,123,21,4099,131*,40.18,7,28,13
137,Saeed Anwar (PAK),1990-2001,55,91,2,4052,188*,45.52,11,25,8
138,Shakib Al Hasan (BAN),2007-2021,59,109,7,4029,217,39.50,5,26,4
139,M Vijay (INDIA),2008-2018,61,105,1,3982,167,38.28,12,15,8
140,Majid Khan (PAK),1964-1983,63,106,5,3931,167,38.92,8,19,9
141,MN Samuels (WI),2000-2016,71,127,7,3917,260,32.64,7,24,14
142,Hanif Mohammad (PAK),1952-1969,55,97,8,3915,337,43.98,12,15,5
143,FMM Worrell (WI),1948-1963,51,87,9,3860,261,49.48,9,22,11
144,A Flintoff (ENG/ICC),1998-2009,79,130,9,3845,167,31.77,5,26,17
145,IJL Trott (ENG),2009-2015,52,93,6,3835,226,44.08,9,19,8
146,RJ Shastri (INDIA),1981-1992,80,121,14,3830,206,35.79,11,12,9
147,Imran Khan (PAK),1971-1992,88,126,25,3807,136,37.69,6,18,8
148,CL Walcott (WI),1948-1960,44,74,7,3798,220,56.68,15,14,1
149,BJ Watling (NZ),2009-2021,75,117,16,3790,205,37.52,8,19,10
150,SM Pollock (SA),1995-2008,108,156,39,3781,111,32.31,2,16,9
151,SR Watson (AUS),2005-2015,59,109,3,3731,176,35.19,4,24,6
152,WJ Cronje (SA),1992-2000,68,111,9,3714,135,36.41,6,23,11
153,AG Prince (SA),2002-2011,66,104,16,3665,162*,41.64,11,11,7
154,Mohammad Hafeez (PAK),2003-2018,55,105,8,3652,224,37.64,10,12,8
155,Mushtaq Mohammad (PAK),1959-1979,57,100,7,3643,201,39.17,10,19,4
156,UT Khawaja (AUS),2011-2022,49,86,9,3638,174,47.24,12,16,4
157,RW Marsh (AUS),1970-1984,96,150,13,3633,132,26.51,3,16,12
158,DM Jones (AUS),1984-1992,52,89,11,3631,216,46.55,11,14,11
159,PR Umrigar (INDIA),1948-1962,59,94,8,3631,223,42.22,12,14,5
160,DL Amiss (ENG),1966-1977,50,88,10,3612,262*,46.30,11,11,10
161,AW Greig (ENG),1972-1977,58,93,4,3599,148,40.43,8,20,5
162,Asif Iqbal (PAK),1964-1980,58,99,7,3575,175,38.85,11,12,9
163,DM Bravo (WI),2010-2020,56,102,5,3538,218,36.47,8,17,5
164,AR Morris (AUS),1946-1955,46,79,3,3533,206,46.48,12,12,4
165,EH Hendren (ENG),1920-1935,51,83,9,3525,205*,47.63,7,21,4
166,Mominul Haque (BAN),2013-2022,51,95,6,3514,181,39.48,11,15,11
167,B Mitchell (SA),1929-1949,42,80,9,3471,189*,48.88,8,21,3
168,GW Flower (ZIM),1992-2004,67,123,6,3457,201*,29.54,6,15,16
169,BE Congdon (NZ),1965-1978,61,114,7,3448,176,32.22,7,19,9
170,JR Reid (NZ),1949-1965,58,108,5,3428,142,33.28,6,22,5
171,SCJ Broad (ENG),2007-2022,152,224,39,3412,169,18.44,1,13,39
172,C Hill (AUS),1896-1912,49,89,2,3412,191,39.21,7,19,9
173,GA Hick (ENG),1991-2001,65,114,6,3383,178,31.32,6,18,11
174,GM Wood (AUS),1978-1988,59,112,6,3374,172,31.83,9,13,9
175,PJL Dujon (WI),1981-1991,81,115,11,3322,139,31.94,5,16,8
176,CL Cairns (NZ),1989-2004,62,104,5,3320,158,33.53,5,22,7
177,Ijaz Ahmed (PAK),1987-2001,60,92,4,3315,211,37.67,12,12,7
178,Q de Kock (SA),2014-2021,54,91,6,3300,141*,38.82,6,22,7
179,FE Woolley (ENG),1909-1934,64,98,7,3283,154,36.07,5,23,13
180,KWR Fletcher (ENG),1968-1982,59,96,14,3272,216,39.90,7,19,6
181,BJ Haddin (AUS),2008-2015,66,112,13,3266,169,32.98,4,18,8
182,ND McKenzie (SA),2000-2009,58,94,7,3253,226,37.39,5,16,9
183,CC Hunte (WI),1958-1967,44,78,6,3245,260,45.06,8,13,5
184,VL Manjrekar (INDIA),1951-1965,55,92,10,3208,189*,39.12,7,15,11
185,NS Sidhu (INDIA),1983-1999,51,78,2,3202,201,42.13,9,15,9
186,HA Gomes (WI),1976-1987,60,91,11,3171,143,39.63,9,13,5
187,VT Trumper (AUS),1899-1912,48,89,8,3163,214*,39.04,8,13,7
188,SK Warne (AUS),1992-2007,145,199,17,3154,99,17.32,0,12,34
189,RG Sharma (INDIA),2013-2022,45,77,9,3137,212,46.13,8,14,4
190,Sir RJ Hadlee (NZ),1973-1990,86,134,19,3124,151*,27.16,2,15,12
191,CD McMillan (NZ),1997-2005,55,91,10,3116,142,38.46,6,19,7
192,CC McDonald (AUS),1952-1961,47,83,4,3107,170,39.32,5,17,2
193,BF Butcher (WI),1958-1969,44,78,6,3104,209*,43.11,7,16,3
194,WPUJC Vaas (SL),1994-2009,111,162,35,3089,100*,24.32,1,13,12
195,BKG Mendis (SL),2015-2022,48,93,4,3078,196,34.58,7,12,11
196,AL Hassett (AUS),1938-1953,43,69,3,3073,198*,46.56,10,11,1
197,CG Borde (INDIA),1958-1969,55,97,11,3061,177*,35.59,5,18,13
198,Habibul Bashar (BAN),2000-2008,50,99,1,3026,113,30.87,3,24,7
199,JC Adams (WI),1992-2001,54,90,17,3012,208*,41.26,6,14,7
200,Saeed Ahmed (PAK),1958-1973,41,78,4,2991,172,40.41,5,16,2
201,GM Turner (NZ),1969-1983,41,73,6,2991,259,44.64,7,14,1
202,Taufeeq Umar (PAK),2001-2014,44,83,5,2963,236,37.98,7,14,6
203,AD Nourse (SA),1935-1951,34,62,7,2960,231,53.81,9,14,3
204,KR Miller (AUS),1946-1956,55,87,7,2958,147,36.97,7,13,5
205,HW Taylor (SA),1912-1932,42,76,4,2936,176,40.77,7,17,2
206,R Ashwin (INDIA),2011-2022,86,123,14,2931,124,26.88,5,12,6
207,AH Jones (NZ),1987-1995,39,74,8,2922,186,44.27,7,11,2
208,MM Ali (ENG),2014-2021,64,111,8,2914,155*,28.29,5,14,15
209,Mahmudullah (BAN),2009-2021,50,94,7,2914,150*,33.49,5,16,11
210,JC Buttler (ENG),2014-2022,57,100,9,2907,152,31.94,2,18,9
211,D Ramdin (WI),2005-2016,74,126,14,2898,166,25.87,4,15,9
212,Wasim Akram (PAK),1985-2002,104,147,19,2898,257*,22.64,3,7,17
213,SL Campbell (WI),1995-2002,52,93,4,2882,208,32.38,4,18,7
214,AC Parore (NZ),1990-2002,78,128,19,2865,110,26.28,2,14,6
215,WW Armstrong (AUS),1902-1921,50,84,10,2863,159*,38.68,6,8,6
216,ADR Campbell (ZIM),1992-2002,60,109,4,2858,103,27.21,2,18,10
217,GR Marsh (AUS),1985-1992,50,93,7,2854,138,33.18,4,15,3
218,Babar Azam (PAK),2016-2022,40,71,9,2851,196,45.98,6,21,7
219,Ramiz Raja (PAK),1984-1997,57,94,5,2833,122,31.83,2,22,7
220,Aamer Sohail (PAK),1992-2000,47,83,3,2823,205,35.28,5,13,6
221,Wasim Raja (PAK),1973-1985,57,92,14,2821,125,36.16,4,18,8
222,KR Stackpole (AUS),1966-1974,43,80,5,2807,207,37.42,7,14,5
223,MAK Pataudi (INDIA),1961-1975,46,83,3,2793,203*,34.91,6,16,7
224,KC Wessels (AUS/SA),1982-1994,40,71,3,2788,179,41.00,6,15,5
225,NCL O'Neill (AUS),1958-1965,42,69,8,2779,181,45.55,6,15,6
226,MH Richardson (NZ),2000-2004,38,65,3,2776,145,44.77,4,19,1
227,M Leyland (ENG),1928-1938,41,65,5,2764,187,46.06,9,10,6
228,SMH Kirmani (INDIA),1976-1986,88,124,22,2759,102,27.04,2,12,7
229,GN Yallop (AUS),1976-1984,39,70,3,2756,268,41.13,8,9,3
230,SJ McCabe (AUS),1930-1938,39,62,5,2748,232,48.21,6,13,4
231,Moin Khan (PAK),1990-2004,69,104,8,2741,137,28.55,4,15,5
232,Mohammad Ashraful (BAN),2001-2013,61,119,5,2737,190,24.00,6,8,16
233,B Sutcliffe (NZ),1947-1965,42,76,8,2727,230*,40.10,5,15,5
234,Mohsin Khan (PAK),1978-1986,48,79,6,2709,200,37.10,7,9,3
235,Shoaib Mohammad (PAK),1983-1995,45,68,7,2705,203*,44.34,7,13,6
236,MG Burgess (NZ),1968-1980,50,92,6,2684,119*,31.20,5,14,5
237,JV Coney (NZ),1974-1987,52,85,14,2668,174*,37.57,3,16,3
238,Sarfaraz Ahmed (PAK),2010-2019,49,86,13,2657,112,36.39,3,18,4
239,Kamran Akmal (PAK),2002-2010,53,92,6,2648,158*,30.79,6,12,14
240,JA Rudolph (SA),2003-2012,48,83,9,2622,222*,35.43,6,11,8
241,T Bavuma (SA),2014-2022,51,87,11,2612,102*,34.36,1,19,7
242,FM Engineer (INDIA),1961-1975,46,87,3,2611,121,31.08,2,16,7
243,WW Hinds (WI),2000-2005,45,80,1,2608,213,33.01,5,14,6
244,MJ Guptill (NZ),2009-2016,47,89,1,2586,189,29.38,3,17,10
245,Sadiq Mohammad (PAK),1969-1981,41,74,2,2579,166,35.81,5,10,6
246,RD Jacobs (WI),1998-2004,65,112,21,2577,118,28.31,3,14,12
247,RS Mahanama (SL),1986-1998,52,89,1,2576,225,29.27,4,11,7
248,JO Holder (WI),2014-2022,56,100,16,2571,202*,30.60,3,11,7
249,C Washbrook (ENG),1937-1956,37,66,6,2569,195,42.81,6,12,2
250,GS Blewett (AUS),1995-2000,46,79,4,2552,214,34.02,4,15,6
251,KL Rahul (INDIA),2014-2022,43,74,2,2547,199,35.37,7,13,7
252,HM Nicholls (NZ),2016-2022,46,69,6,2544,174,40.38,8,12,6
253,JN Rhodes (SA),1992-2000,52,80,9,2532,117,35.66,3,17,4
254,GP Howarth (NZ),1975-1985,47,83,5,2531,147,32.44,6,11,7
255,N Dickwella (SL),2014-2022,47,84,6,2529,96,32.42,0,19,3
256,SM Nurse (WI),1960-1969,29,54,1,2523,258,47.60,6,10,3
257,DM de Silva (SL),2016-2022,40,72,6,2517,173,38.13,8,9,6
258,EJ Barlow (SA),1961-1970,30,57,2,2516,201,45.74,6,15,3
259,TL Goddard (SA),1955-1970,41,78,5,2516,112,34.46,1,18,4
260,A Kumble (INDIA),1990-2008,132,173,32,2506,110*,17.77,1,5,17
261,BL D'Oliveira (ENG),1966-1972,44,70,8,2484,158,40.06,5,15,4
262,AL Logie (WI),1983-1991,52,78,9,2470,130,35.79,2,16,8
263,DW Randall (ENG),1977-1984,47,79,5,2470,174,33.37,7,12,14
264,W Bardsley (AUS),1909-1926,41,66,5,2469,193*,40.47,6,14,6
265,KR Rutherford (NZ),1985-1995,56,99,8,2465,107*,27.08,3,18,16
266,AP Gurusinha (SL),1985-1996,41,70,7,2452,143,38.92,7,8,3
267,P Roy (INDIA),1951-1960,43,79,4,2442,173,32.56,5,9,14
268,WJ Edrich (ENG),1938-1955,39,63,2,2440,219,40.00,6,13,3
269,DJ McGlew (SA),1951-1962,34,64,6,2440,255*,42.06,7,10,4
270,TG Evans (ENG),1946-1959,91,133,14,2439,104,20.49,2,8,17
271,J Blackwood (WI),2014-2022,46,84,4,2437,112*,30.46,3,15,6
272,LEG Ames (ENG),1929-1939,47,72,12,2434,149,40.56,8,7,5
273,JHB Waite (SA),1951-1965,50,86,7,2405,134,30.44,4,16,9
274,Imran Farhat (PAK),2001-2013,40,77,2,2400,128,32.00,3,14,3
275,RA Jadeja (INDIA),2012-2022,59,87,20,2396,175*,35.76,2,17,5
276,M Labuschagne (AUS),2018-2022,26,45,1,2390,215,54.31,6,13,3
277,MR Ramprakash (ENG),1991-2002,52,92,6,2350,154,27.32,2,12,12
278,W Rhodes (ENG),1899-1930,58,98,21,2325,179,30.19,2,11,6
279,BRM Taylor (ZIM),2004-2021,34,68,4,2320,171,36.25,6,12,3
280,S Dhawan (INDIA),2013-2018,34,58,1,2315,190,40.61,7,5,4
281,GT Dowling (NZ),1961-1972,39,77,3,2306,239,31.16,3,11,6
282,WM Woodfull (AUS),1926-1934,35,54,4,2300,161,46.00,7,13,6
283,TE Bailey (ENG),1949-1959,61,91,14,2290,134*,29.74,1,10,7
284,PJP Burge (AUS),1955-1966,42,68,8,2290,181,38.16,4,12,5
285,SE Gregory (AUS),1890-1912,58,100,7,2282,201,24.53,4,8,12
286,MJK Smith (ENG),1958-1972,50,78,6,2278,121,31.63,3,11,11
287,SE Marsh (AUS),2011-2019,38,68,2,2265,182,34.31,6,10,10
288,RG Pollock (SA),1963-1970,23,41,4,2256,274,60.97,7,11,1
289,AW Nourse (SA),1902-1924,45,83,8,2234,111,29.78,1,15,3
290,Harbhajan Singh (INDIA),1998-2015,103,145,23,2224,115,18.22,2,9,19
291,H Masakadza (ZIM),2001-2018,38,76,2,2223,158,30.04,5,8,10
292,GJ Whittall (ZIM),1993-2002,46,82,7,2207,203*,29.42,4,10,6
293,R Benaud (AUS),1952-1964,63,97,7,2201,122,24.45,3,9,8
294,DJ Bravo (WI),2004-2010,40,71,1,2200,113,31.42,3,13,6
295,VS Hazare (INDIA),1946-1953,30,52,6,2192,164*,47.65,7,9,4
296,GA Headley (WI),1930-1954,22,40,4,2190,270*,60.83,10,5,2
297,D Ganga (WI),1998-2008,48,86,2,2160,135,25.71,3,9,9
298,JB Stollmeyer (WI),1939-1955,32,56,5,2159,160,42.33,4,12,2
299,CG Macartney (AUS),1907-1926,35,55,4,2131,170,41.78,7,9,1
300,HAPW Jayawardene (SL),2000-2015,58,83,11,2124,154*,29.50,4,5,9
301,WH Ponsford (AUS),1924-1934,29,48,4,2122,266,48.22,7,6,1
302,RA McLean (SA),1951-1964,40,73,3,2120,142,30.28,5,10,11
303,KOA Powell (WI),2011-2021,44,83,1,2113,134,25.76,3,7,8
304,AL Wadekar (INDIA),1966-1974,37,71,3,2113,143,31.07,1,14,7
305,MH Mankad (INDIA),1946-1959,44,72,5,2109,231,31.47,5,6,7
306,JP Duminy (SA),2008-2017,46,74,10,2103,166,32.85,6,8,9
307,JK Silva (SL),2011-2018,39,74,0,2099,139,28.36,3,12,6
308,AN Petersen (SA),2010-2015,36,64,4,2093,182,34.88,5,8,3
309,HDRL Thirimanne (SL),2011-2022,44,85,6,2088,155*,26.43,3,10,11
310,CPS Chauhan (INDIA),1969-1981,40,68,2,2084,97,31.57,0,16,6
311,Imtiaz Ahmed (PAK),1952-1962,41,72,1,2079,209,29.28,3,11,9
312,MG Johnson (AUS),2007-2015,73,109,16,2065,123*,22.20,1,11,19
313,K Srikkanth (INDIA),1981-1992,43,72,3,2062,123,29.88,2,12,7
314,RM Cowper (AUS),1964-1968,27,46,2,2061,307,46.84,5,10,3
315,PE Richardson (ENG),1956-1963,34,56,1,2061,126,37.47,5,9,1
316,ML Jaisimha (INDIA),1959-1971,39,71,4,2056,129,30.68,3,12,9
317,LG Rowe (WI),1972-1980,30,49,2,2047,302,43.55,7,7,2
318,SV Manjrekar (INDIA),1987-1996,37,61,6,2043,218,37.14,4,9,3
319,BA Young (NZ),1993-1999,35,68,4,2034,267*,31.78,2,12,5
320,MJ Greatbatch (NZ),1988-1996,41,71,5,2021,146*,30.62,3,10,9
321,CJL Rogers (AUS),2008-2015,25,48,1,2015,173,42.87,5,14,1
322,RL Chase (WI),2016-2021,43,79,4,2009,137*,26.78,5,9,10
323,AC Hudson (SA),1992-1998,35,63,3,2007,163,33.45,4,13,7
324,DN Sardesai (INDIA),1961-1972,30,55,4,2001,212,39.23,5,9,4
325,TW Hayward (ENG),1896-1909,35,60,2,1999,137,34.46,3,12,7
326,MA Noble (AUS),1898-1909,42,73,7,1997,133,30.25,1,16,4
327,DL Murray (WI),1963-1980,62,96,9,1993,91,22.90,0,11,7
328,HH Streak (ZIM),1993-2005,65,107,18,1990,127*,22.35,1,11,15
329,AD Gaekwad (INDIA),1974-1985,40,70,4,1985,201,30.07,2,10,4
330,G Pullar (ENG),1959-1963,28,49,4,1974,175,43.86,4,12,3
331,AK Markram (SA),2017-2022,31,57,1,1973,152,35.23,5,9,6
332,BM McMillan (SA),1992-1998,38,62,12,1968,113,39.36,3,13,3
333,EAB Rowan (SA),1935-1951,26,50,5,1965,236,43.66,3,12,4
334,JM Parks (ENG),1954-1968,46,68,7,1962,108*,32.16,2,9,3
335,BA Edgar (NZ),1978-1986,39,68,4,1958,161,30.59,3,12,7
336,Abdul Razzaq (PAK),1999-2006,46,77,9,1946,134,28.61,3,7,4
337,W Jaffer (INDIA),2000-2008,31,58,1,1944,212,34.10,5,11,6
